id;Ten;Diachi;Beprieng;Bontam;Netflix;Gia14h_12h;Gia1h_19h;Gia20h_9h;Gia4tieng;;;;;;;;;;;;;;;;;;;
1;Lê __i Hành (phòng x_p ng_u nhiên);Hai Bà Tr_ng;1;1;0;1050000;865000;740000;540000;;;;;;;;;;;;;;;;;;;
2;B_c Giang, Nguy_n Th_ L_u;;1;0;1;650000;650000;550000;450000;;;;;;;;;;;;;;;;;;;
3;Phan Phù Tiên;__ng _a;1;0;1;750000;545000;440000;340000;;;;;;;;;;;;;;;;;;;
4;Phan Phù Tiên;__ng _a;1;0;1;780000;572000;460000;360000;;;;;;;;;;;;;;;;;;;
5;Phan Phù Tiên;__ng _a;1;0;1;850000;705000;540000;440000;;;;;;;;;;;;;;;;;;;
6;H_ H_i;Hoàn Ki_m;1;1;1;800000;625000;490000;390000;;;;;;;;;;;;;;;;;;;
7;B_ch __ng;Hoàn Ki_m;1;1;1;800000;625000;490000;390000;;;;;;;;;;;;;;;;;;;
8;Gi_ng Võ;Ba _ình;1;0;1;750000;545000;440000;340000;;;;;;;;;;;;;;;;;;;
9;__ng Tr_n Côn;__ng _a;1;0;1;750000;545000;440000;340000;;;;;;;;;;;;;;;;;;;
10;Gi_ng Võ;Ba _ình;1;0;1;750000;545000;440000;340000;;;;;;;;;;;;;;;;;;;
11;L_c Long Quân;Tây H_;1;0;1;1050000;865000;740000;540000;;;;;;;;;;;;;;;;;;;
12;Tr_nh Công S_n;Tây H_;1;1;1;950000;705000;590000;440000;;;;;;;;;;;;;;;;;;;
13;Tr_nh Công S_n;Tây H_;1;1;1;950000;705000;590000;440000;;;;;;;;;;;;;;;;;;;
14;Yên Ninh;Ba _ình;1;0;1;800000;625000;490000;390000;;;;;;;;;;;;;;;;;;;
15;Bát S_;Hoàn Ki_m;1;0;1;750000;625000;490000;390000;;;;;;;;;;;;;;;;;;;
16;Bát S_;Hoàn Ki_m;1;1;1;800000;705000;540000;440000;;;;;;;;;;;;;;;;;;;
17;Tr_n Duy H_ng;Thanh Xuân C_u Gi_y;1;0;1;950000;705000;590000;440000;;;;;;;;;;;;;;;;;;;
18;Y_t Kiêu;Hai Bà Tr_ng;1;1;1;780000;625000;490000;390000;;;;;;;;;;;;;;;;;;;
19;Tr_n Duy H_ng;Thanh Xuân C_u Gi_y;1;0;1;950000;705000;590000;440000;;;;;;;;;;;;;;;;;;;
20;L_c Long Quân;Tây H_;1;1;1;1100000;945000;790000;590000;;;;;;;;;;;;;;;;;;;
21;Tr_n V_;Ba _ình;1;1;1;850000;672000;520000;420000;;;;;;;;;;;;;;;;;;;
22;Lê H_ng Phong;Ba _ình;1;0;1;750000;545000;440000;340000;;;;;;;;;;;;;;;;;;;
23;L_c Long Quân;Tây H_;1;0;1;1050000;865000;740000;540000;;;;;;;;;;;;;;;;;;;
24;Yên Ninh;Ba _ình;1;0;1;650000;465000;390000;290000;;;;;;;;;;;;;;;;;;;
25;B_ch __ng;Hoàn Ki_m;0;0;1;650000;465000;390000;290000;;;;;;;;;;;;;;;;;;;
26;B_ch __ng;Hoàn Ki_m;0;0;1;650000;465000;390000;290000;;;;;;;;;;;;;;;;;;;
27;Kim Mã;__ng _a;1;1;1;850000;672000;520000;420000;;;;;;;;;;;;;;;;;;;
28;Tr_n Duy H_ng;Thanh Xuân C_u Gi_y;1;1;1;950000;865000;690000;540000;;;;;;;;;;;;;;;;;;;
29;Phùng H_ng;Hoàn Ki_m;1;0;1;550000;385000;340000;240000;;;;;;;;;;;;;;;;;;;
30;Phùng H_ng;Hoàn Ki_m;1;0;1;650000;465000;390000;290000;;;;;;;;;;;;;;;;;;;
31;Y_t Kiêu;Hai Bà Tr_ng;1;0;1;700000;512000;420000;320000;;;;;;;;;;;;;;;;;;;
32;Tr_nh Công S_n;Tây H_;1;1;1;1050000;865000;740000;540000;;;;;;;;;;;;;;;;;;;
33;Tr_n Duy H_ng;Thanh Xuân C_u Gi_y;1;0;1;950000;705000;590000;440000;;;;;;;;;;;;;;;;;;;
34;Lò _úc;Hai Bà Tr_ng;0;0;1;750000;545000;440000;340000;;;;;;;;;;;;;;;;;;;
35;Lê H_ng Phong;Ba _ình;1;0;1;750000;545000;440000;340000;;;;;;;;;;;;;;;;;;;
36;Lê H_ng Phong;Ba _ình;1;0;1;850000;705000;540000;440000;;;;;;;;;;;;;;;;;;;
37;L_c Long Quân;Tây H_;1;0;1;1050000;865000;740000;540000;;;;;;;;;;;;;;;;;;;
38;Tr_nh Công S_n;Tây H_;1;1;1;1050000;865000;740000;540000;;;;;;;;;;;;;;;;;;;
39;Tr_nh Công S_n;Tây H_;1;0;1;1050000;865000;740000;540000;;;;;;;;;;;;;;;;;;;
40;Tr_nh Công S_n;Tây H_;1;0;1;950000;705000;590000;440000;;;;;;;;;;;;;;;;;;;
41;Tr_n Duy H_ng;Thanh Xuân C_u Gi_y;1;0;1;950000;705000;590000;440000;;;;;;;;;;;;;;;;;;;
42;Khâm Thiên;__ng _a;1;0;1;750000;545000;440000;340000;;;;;;;;;;;;;;;;;;;
43;Khâm Thiên;__ng _a;1;0;1;650000;545000;390000;290000;;;;;;;;;;;;;;;;;;;
44;Khâm Thiên;__ng _a;1;0;1;750000;545000;440000;340000;;;;;;;;;;;;;;;;;;;
45;Duy Tân;Thanh Xuân C_u Gi_y;1;1;1;540000;540000;490000;390000;;;;;;;;;;;;;;;;;;;
46;Duy Tân;Thanh Xuân C_u Gi_y;1;1;1;540000;540000;490000;390000;;;;;;;;;;;;;;;;;;;
47;Duy Tân;Thanh Xuân C_u Gi_y;1;1;1;490000;490000;430000;340000;;;;;;;;;;;;;;;;;;;
48;T_m Th__ng;Hoàn Ki_m;1;0;1;700000;512000;420000;320000;;;;;;;;;;;;;;;;;;;
49;Cát Linh;__ng _a;1;0;1;750000;545000;440000;340000;;;;;;;;;;;;;;;;;;;
50;Cát Linh;__ng _a;1;0;1;750000;545000;440000;340000;;;;;;;;;;;;;;;;;;;
51;Gi_ng Võ;__ng _a;1;0;1;750000;545000;440000;340000;;;;;;;;;;;;;;;;;;;
52;V_ Miên;Tây H_;1;0;1;800000;625000;540000;390000;;;;;;;;;;;;;;;;;;;
53;V_ Miên;Tây H_;1;0;1;800000;625000;540000;390000;;;;;;;;;;;;;;;;;;;
54;V_ Miên;Tây H_;1;0;1;900000;705000;590000;440000;;;;;;;;;;;;;;;;;;;
55;V_ Miên;Tây H_;1;0;1;900000;705000;590000;440000;;;;;;;;;;;;;;;;;;;
56;Tr_n H_ng __o;Hoàn Ki_m;1;0;1;650000;465000;390000;290000;;;;;;;;;;;;;;;;;;;
57;Tr_n H_ng __o;Hoàn Ki_m;1;1;1;800000;625000;490000;390000;;;;;;;;;;;;;;;;;;;
58;Tr_n H_ng __o;Hoàn Ki_m;1;0;1;750000;545000;440000;340000;;;;;;;;;;;;;;;;;;;
59;Tr_n H_ng __o;Hoàn Ki_m;1;0;1;750000;545000;440000;340000;;;;;;;;;;;;;;;;;;;
60;Ngõ V_n Ki_p;Hoàn Ki_m;1;0;1;780000;576000;460000;360000;;;;;;;;;;;;;;;;;;;
61;Ngõ V_n Ki_p;Hoàn Ki_m;1;0;1;750000;545000;440000;340000;;;;;;;;;;;;;;;;;;;
62;Lê H_ng Phong;Ba _ình;1;0;1;750000;545000;440000;340000;;;;;;;;;;;;;;;;;;;
63;L_c Long Quân;Tây H_;1;0;1;1050000;865000;740000;540000;;;;;;;;;;;;;;;;;;;
64;Yên Ninh;Ba _ình;1;1;1;800000;672000;520000;420000;;;;;;;;;;;;;;;;;;;
65;Y_t Kiêu;Hai Bà Tr_ng;1;0;1;750000;545000;440000;340000;;;;;;;;;;;;;;;;;;;
66;Yên Ninh;Ba _ình;1;0;1;800000;625000;490000;390000;;;;;;;;;;;;;;;;;;;
67;Nam Tràng;Ba _ình;1;0;1;950000;785000;690000;490000;;;;;;;;;;;;;;;;;;;
68;Nam Tràng;Ba _ình;1;0;1;1050000;865000;740000;540000;;;;;;;;;;;;;;;;;;;
69;Nam Tràng;Ba _ình;1;1;1;950000;785000;690000;490000;;;;;;;;;;;;;;;;;;;
70;Nam Tràng;Ba _ình;1;1;1;1050000;865000;740000;540000;;;;;;;;;;;;;;;;;;;
71;B_ch __ng;Hoàn Ki_m;1;1;1;800000;625000;490000;390000;;;;;;;;;;;;;;;;;;;
72;B_ch __ng;Hoàn Ki_m;1;0;1;750000;545000;440000;340000;;;;;;;;;;;;;;;;;;;
73;Lò _úc;Hai Bà Tr_ng;1;1;0;800000;625000;490000;390000;;;;;;;;;;;;;;;;;;;
74;Phan Phù Tiên;__ng _a;1;1;1;800000;672000;520000;420000;;;;;;;;;;;;;;;;;;;
75;Yên Ph_;Tây H_;1;0;1;800000;625000;540000;390000;;;;;;;;;;;;;;;;;;;
76;Yên Ph_;Tây H_;1;0;1;950000;705000;590000;440000;;;;;;;;;;;;;;;;;;;
77;Yên Ph_;Tây H_;1;0;1;1050000;865000;740000;540000;;;;;;;;;;;;;;;;;;;
78;Tôn __c Th_ng;__ng _a;1;0;1;780000;572000;460000;360000;;;;;;;;;;;;;;;;;;;
79;Tôn __c Th_ng;__ng _a;1;0;1;780000;572000;460000;360000;;;;;;;;;;;;;;;;;;;
80;Tôn __c Th_ng;__ng _a;1;0;1;750000;545000;440000;340000;;;;;;;;;;;;;;;;;;;
81;Tân _p;Ba _ình;0;1;1;800000;672000;520000;420000;;;;;;;;;;;;;;;;;;;
82;Tân _p;Ba _ình;0;0;1;780000;572000;460000;360000;;;;;;;;;;;;;;;;;;;
83;Ph_m H_ng Thái;Ba _ình;1;1;1;850000;705000;590000;440000;;;;;;;;;;;;;;;;;;;
84;Ph_m H_ng Thái;Ba _ình;1;1;1;850000;705000;590000;440000;;;;;;;;;;;;;;;;;;;
85;Ph_m H_ng Thái;Ba _ình;1;1;1;950000;785000;640000;490000;;;;;;;;;;;;;;;;;;;
86;Phan Phù Tiên;__ng _a;1;0;1;780000;572000;460000;360000;;;;;;;;;;;;;;;;;;;
87;Phan Phù Tiên;__ng _a;1;1;1;800000;672000;520000;420000;;;;;;;;;;;;;;;;;;;
88;Tr_nh Công S_n (nh_);Tây h_;1;1;1;690000;690000;620000;520000;;;;;;;;;;;;;;;;;;;
89;Tr_nh Công S_n (l_n);Tây h_;1;1;1;870000;870000;740000;640000;;;;;;;;;;;;;;;;;;;
90;Tân _p;Ba _ình;1;0;1;800000;625000;490000;390000;;;;;;;;;;;;;;;;;;;
91;Tân _p;Ba _ình;1;0;1;750000;545000;440000;340000;;;;;;;;;;;;;;;;;;;
92;Tân _p;Ba _ình;1;0;1;750000;545000;440000;340000;;;;;;;;;;;;;;;;;;;
93;Lê H_ng Phong;Ba _ình;1;0;1;750000;545000;440000;340000;;;;;;;;;;;;;;;;;;;
94;Bùi Th_ Xuân;Hai Bà Tr_ng;1;1;0;900000;785000;640000;490000;;;;;;;;;;;;;;;;;;;
95;Kim Mã;Ba _ình;1;1;1;850000;672000;520000;420000;;;;;;;;;;;;;;;;;;;
96;Kim Mã;Ba _ình;1;1;1;850000;672000;520000;420000;;;;;;;;;;;;;;;;;;;
97;Kim Mã;Ba _ình;1;1;1;850000;672000;520000;420000;;;;;;;;;;;;;;;;;;;
98;Phan B_i Châu;Hoàn Ki_m;1;0;1;680000;512000;420000;320000;;;;;;;;;;;;;;;;;;;
99;Phan B_i Châu;Hoàn Ki_m;1;0;1;800000;625000;490000;390000;;;;;;;;;;;;;;;;;;;
100;Bùi X__ng Tr_ch;Thanh Xuân C_u Gi_y;1;0;1;750000;545000;440000;340000;;;;;;;;;;;;;;;;;;;
101;Bùi X__ng Tr_ch;Thanh Xuân C_u Gi_y;1;0;1;750000;545000;440000;340000;;;;;;;;;;;;;;;;;;;
102;Bùi X__ng Tr_ch;Thanh Xuân C_u Gi_y;1;0;1;750000;545000;440000;340000;;;;;;;;;;;;;;;;;;;
103;Bùi X__ng Tr_ch;Thanh Xuân C_u Gi_y;1;0;1;800000;625000;490000;390000;;;;;;;;;;;;;;;;;;;
104;Bùi X__ng Tr_ch;Thanh Xuân C_u Gi_y;1;0;1;800000;625000;490000;390000;;;;;;;;;;;;;;;;;;;
105;Bùi X__ng Tr_ch;Thanh Xuân C_u Gi_y;1;0;1;750000;545000;440000;340000;;;;;;;;;;;;;;;;;;;
106;Ngõ Qu_nh;Hai Bà Tr_ng;1;0;1;750000;545000;440000;340000;;;;;;;;;;;;;;;;;;;
107;Ngõ Qu_nh;Hai Bà Tr_ng;1;0;1;750000;545000;440000;340000;;;;;;;;;;;;;;;;;;;
108;Ngõ Qu_nh;Hai Bà Tr_ng;1;0;1;750000;545000;440000;340000;;;;;;;;;;;;;;;;;;;
109;Ngõ Qu_nh;Hai Bà Tr_ng;1;1;1;800000;625000;490000;390000;;;;;;;;;;;;;;;;;;;
110;Dã T__ng;Hoàn Ki_m;1;0;1;850000;705000;590000;440000;;;;;;;;;;;;;;;;;;;
111;Dã T__ng;Hoàn Ki_m;1;0;1;850000;705000;590000;440000;;;;;;;;;;;;;;;;;;;
112;Dã T__ng;Hoàn Ki_m;1;0;1;950000;785000;640000;490000;;;;;;;;;;;;;;;;;;;
113;Dã T__ng;Hoàn Ki_m;1;0;1;850000;705000;590000;440000;;;;;;;;;;;;;;;;;;;
114;Dã T__ng;Hoàn Ki_m;1;1;1;950000;785000;640000;490000;;;;;;;;;;;;;;;;;;;
115;Hàm Long;Hoàn Ki_m;1;0;1;750000;545000;440000;340000;;;;;;;;;;;;;;;;;;;
116;Hàm Long;Hoàn Ki_m;1;0;1;750000;545000;440000;340000;;;;;;;;;;;;;;;;;;;
117;Trung Kính;Thanh Xuân C_u Gi_y;1;1;1;540000;540000;490000;390000;;;;;;;;;;;;;;;;;;;
118;Trung Kính;Thanh Xuân C_u Gi_y;1;0;1;490000;490000;430000;340000;;;;;;;;;;;;;;;;;;;
119;Trung Kính;Thanh Xuân C_u Gi_y;1;1;1;540000;540000;490000;390000;;;;;;;;;;;;;;;;;;;
120;Trung Kính;Thanh Xuân C_u Gi_y;1;0;1;490000;490000;430000;340000;;;;;;;;;;;;;;;;;;;
121;Trung Kính;Thanh Xuân C_u Gi_y;1;1;1;540000;540000;490000;390000;;;;;;;;;;;;;;;;;;;
122;Trung Kính;Thanh Xuân C_u Gi_y;1;0;1;490000;490000;430000;340000;;;;;;;;;;;;;;;;;;;
123;Trung Kính;Thanh Xuân C_u Gi_y;1;1;1;540000;540000;490000;390000;;;;;;;;;;;;;;;;;;;
124;Nh_t Chiêu;Tây H_;1;1;1;800000;625000;490000;390000;;;;;;;;;;;;;;;;;;;
125;Nh_t Chiêu;Tây H_;0;0;1;750000;545000;440000;340000;;;;;;;;;;;;;;;;;;;
126;Nh_t Chiêu;Tây H_;1;1;1;800000;625000;490000;390000;;;;;;;;;;;;;;;;;;;
127;Nh_t Chiêu;Tây H_;1;0;1;750000;545000;440000;340000;;;;;;;;;;;;;;;;;;;
128;Nh_t Chiêu;Tây H_;1;1;1;800000;625000;490000;390000;;;;;;;;;;;;;;;;;;;
129;Hàng B_t;__ng _a;1;0;1;550000;560000;450000;350000;;;;;;;;;;;;;;;;;;;
130;Hàng B_t;__ng _a;1;0;1;650000;720000;550000;450000;;;;;;;;;;;;;;;;;;;
131;Linh Lang;Ba _ình;1;1;1;900000;752000;570000;470000;;;;;;;;;;;;;;;;;;;
132;Linh Lang;Ba _ình;1;1;1;900000;752000;570000;470000;;;;;;;;;;;;;;;;;;;
133;_i_n Biên Ph_;Ba _ình;1;0;1;750000;545000;440000;340000;;;;;;;;;;;;;;;;;;;
134;_i_n Biên Ph_;Ba _ình;1;0;1;750000;545000;440000;340000;;;;;;;;;;;;;;;;;;;
135;_i_n Biên Ph_;Ba _ình;1;0;1;750000;545000;440000;340000;;;;;;;;;;;;;;;;;;;
136;_i_n Biên Ph_;Ba _ình;1;0;1;700000;512000;420000;320000;;;;;;;;;;;;;;;;;;;
137;_i_n Biên Ph_;Ba _ình;1;0;1;700000;512000;420000;320000;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
