id;Ten;Diachi;Beprieng;Bontam;Netflix;Gia14h_12h;Gia1h_19h;Gia20h_9h;Gia4tieng;Hinhanh;;;;;;;;;;;;;;;;;;
1;Lê Đại Hành (phòng xếp ngẫu nhiên);Hai Bà Trưng;1;1;0;1050000;865000;740000;540000;No1.jpg;;;;;;;;;;;;;;;;;;
2;Bắc Giang, Nguyễn Thị Lưu;Bắc Giang;1;0;1;650000;650000;550000;450000;No2.jpg;;;;;;;;;;;;;;;;;;
3;Phan Phù Tiên;Đống Đa;1;0;1;750000;545000;440000;340000;No3.jpg;;;;;;;;;;;;;;;;;;
4;Phan Phù Tiên;Đống Đa;1;0;1;780000;572000;460000;360000;No4.jpg;;;;;;;;;;;;;;;;;;
5;Phan Phù Tiên;Đống Đa;1;0;1;850000;705000;540000;440000;No5.jpg;;;;;;;;;;;;;;;;;;
6;Hạ Hồi;Hoàn Kiếm;1;1;1;800000;625000;490000;390000;No6.jpg;;;;;;;;;;;;;;;;;;
7;Bạch Đằng;Hoàn Kiếm;1;1;1;800000;625000;490000;390000;No7.jpg;;;;;;;;;;;;;;;;;;
8;Giảng Võ;Ba Đình;1;0;1;750000;545000;440000;340000;No8.jpg;;;;;;;;;;;;;;;;;;
9;Đặng Trần Côn;Đống Đa;1;0;1;750000;545000;440000;340000;No9.jpg;;;;;;;;;;;;;;;;;;
10;Giảng Võ;Ba Đình;1;0;1;750000;545000;440000;340000;No10.jpg;;;;;;;;;;;;;;;;;;
11;Lạc Long Quân;Tây Hồ;1;0;1;1050000;865000;740000;540000;No11.jpg;;;;;;;;;;;;;;;;;;
12;Trịnh Công Sơn;Tây Hồ;1;1;1;950000;705000;590000;440000;No12.jpg;;;;;;;;;;;;;;;;;;
13;Trịnh Công Sơn;Tây Hồ;1;1;1;950000;705000;590000;440000;No13.jpg;;;;;;;;;;;;;;;;;;
14;Yên Ninh;Ba Đình;1;0;1;800000;625000;490000;390000;No14.jpg;;;;;;;;;;;;;;;;;;
15;Bát Sứ;Hoàn Kiếm;1;0;1;750000;625000;490000;390000;No15.jpg;;;;;;;;;;;;;;;;;;
16;Bát Sứ;Hoàn Kiếm;1;1;1;800000;705000;540000;440000;No16.jpg;;;;;;;;;;;;;;;;;;
17;Trần Duy Hưng;Thanh Xuân Cầu Giấy;1;0;1;950000;705000;590000;440000;No17.jpg;;;;;;;;;;;;;;;;;;
18;Yết Kiêu;Hai Bà Trưng;1;1;1;780000;625000;490000;390000;No18.jpg;;;;;;;;;;;;;;;;;;
19;Trần Duy Hưng;Thanh Xuân Cầu Giấy;1;0;1;950000;705000;590000;440000;No19.jpg;;;;;;;;;;;;;;;;;;
20;Lạc Long Quân;Tây Hồ;1;1;1;1100000;945000;790000;590000;No20.jpg;;;;;;;;;;;;;;;;;;
21;Trấn Vũ;Ba Đình;1;1;1;850000;672000;520000;420000;No21.jpg;;;;;;;;;;;;;;;;;;
22;Lê Hồng Phong;Ba Đình;1;0;1;750000;545000;440000;340000;No22.jpg;;;;;;;;;;;;;;;;;;
23;Lạc Long Quân;Tây Hồ;1;0;1;1050000;865000;740000;540000;No23.jpg;;;;;;;;;;;;;;;;;;
24;Yên Ninh;Ba Đình;1;0;1;650000;465000;390000;290000;No24.jpg;;;;;;;;;;;;;;;;;;
25;Bạch Đằng;Hoàn Kiếm;0;0;1;650000;465000;390000;290000;No25.jpg;;;;;;;;;;;;;;;;;;
26;Bạch Đằng;Hoàn Kiếm;0;0;1;650000;465000;390000;290000;No26.jpg;;;;;;;;;;;;;;;;;;
27;Kim Mã;Đống Đa;1;1;1;850000;672000;520000;420000;No27.jpg;;;;;;;;;;;;;;;;;;
28;Trần Duy Hưng;Thanh Xuân Cầu Giấy;1;1;1;950000;865000;690000;540000;No28.jpg;;;;;;;;;;;;;;;;;;
29;Phùng Hưng;Hoàn Kiếm;1;0;1;550000;385000;340000;240000;No29.jpg;;;;;;;;;;;;;;;;;;
30;Phùng Hưng;Hoàn Kiếm;1;0;1;650000;465000;390000;290000;No30.jpg;;;;;;;;;;;;;;;;;;
31;Yết Kiêu;Hai Bà Trưng;1;0;1;700000;512000;420000;320000;No31.jpg;;;;;;;;;;;;;;;;;;
32;Trịnh Công Sơn;Tây Hồ;1;1;1;1050000;865000;740000;540000;No32.jpg;;;;;;;;;;;;;;;;;;
33;Trần Duy Hưng;Thanh Xuân Cầu Giấy;1;0;1;950000;705000;590000;440000;No33.jpg;;;;;;;;;;;;;;;;;;
34;Lò Đúc;Hai Bà Trưng;0;0;1;750000;545000;440000;340000;No34.jpg;;;;;;;;;;;;;;;;;;
35;Lê Hồng Phong;Ba Đình;1;0;1;750000;545000;440000;340000;No35.jpg;;;;;;;;;;;;;;;;;;
36;Lê Hồng Phong;Ba Đình;1;0;1;850000;705000;540000;440000;No36.jpg;;;;;;;;;;;;;;;;;;
37;Lạc Long Quân;Tây Hồ;1;0;1;1050000;865000;740000;540000;No37.jpg;;;;;;;;;;;;;;;;;;
38;Trịnh Công Sơn;Tây Hồ;1;1;1;1050000;865000;740000;540000;No38.jpg;;;;;;;;;;;;;;;;;;
39;Trịnh Công Sơn;Tây Hồ;1;0;1;1050000;865000;740000;540000;No39.jpg;;;;;;;;;;;;;;;;;;
40;Trịnh Công Sơn;Tây Hồ;1;0;1;950000;705000;590000;440000;No40.jpg;;;;;;;;;;;;;;;;;;
41;Trần Duy Hưng;Thanh Xuân Cầu Giấy;1;0;1;950000;705000;590000;440000;No41.jpg;;;;;;;;;;;;;;;;;;
42;Khâm Thiên;Đống Đa;1;0;1;750000;545000;440000;340000;No42.jpg;;;;;;;;;;;;;;;;;;
43;Khâm Thiên;Đống Đa;1;0;1;650000;545000;390000;290000;No43.jpg;;;;;;;;;;;;;;;;;;
44;Khâm Thiên;Đống Đa;1;0;1;750000;545000;440000;340000;No44.jpg;;;;;;;;;;;;;;;;;;
45;Duy Tân;Thanh Xuân Cầu Giấy;1;1;1;540000;540000;490000;390000;No45.jpg;;;;;;;;;;;;;;;;;;
46;Duy Tân;Thanh Xuân Cầu Giấy;1;1;1;540000;540000;490000;390000;No46.jpg;;;;;;;;;;;;;;;;;;
47;Duy Tân;Thanh Xuân Cầu Giấy;1;1;1;490000;490000;430000;340000;No47.jpg;;;;;;;;;;;;;;;;;;
48;Tạm Thương;Hoàn Kiếm;1;0;1;700000;512000;420000;320000;No48.jpg;;;;;;;;;;;;;;;;;;
49;Cát Linh;Đống Đa;1;0;1;750000;545000;440000;340000;No49.jpg;;;;;;;;;;;;;;;;;;
50;Cát Linh;Đống Đa;1;0;1;750000;545000;440000;340000;No50.jpg;;;;;;;;;;;;;;;;;;
51;Giảng Võ;Đống Đa;1;0;1;750000;545000;440000;340000;No51.jpg;;;;;;;;;;;;;;;;;;
52;Vũ Miên;Tây Hồ;1;0;1;800000;625000;540000;390000;No52.jpg;;;;;;;;;;;;;;;;;;
53;Vũ Miên;Tây Hồ;1;0;1;800000;625000;540000;390000;No53.jpg;;;;;;;;;;;;;;;;;;
54;Vũ Miên;Tây Hồ;1;0;1;900000;705000;590000;440000;No54.jpg;;;;;;;;;;;;;;;;;;
55;Vũ Miên;Tây Hồ;1;0;1;900000;705000;590000;440000;No55.jpg;;;;;;;;;;;;;;;;;;
56;Trần Hưng Đạo;Hoàn Kiếm;1;0;1;650000;465000;390000;290000;No56.jpg;;;;;;;;;;;;;;;;;;
57;Trần Hưng Đạo;Hoàn Kiếm;1;1;1;800000;625000;490000;390000;No57.jpg;;;;;;;;;;;;;;;;;;
58;Trần Hưng Đạo;Hoàn Kiếm;1;0;1;750000;545000;440000;340000;No58.jpg;;;;;;;;;;;;;;;;;;
59;Trần Hưng Đạo;Hoàn Kiếm;1;0;1;750000;545000;440000;340000;No59.jpg;;;;;;;;;;;;;;;;;;
60;Ngõ Vạn Kiếp;Hoàn Kiếm;1;0;1;780000;576000;460000;360000;No60.jpg;;;;;;;;;;;;;;;;;;
61;Ngõ Vạn Kiếp;Hoàn Kiếm;1;0;1;750000;545000;440000;340000;No61.jpg;;;;;;;;;;;;;;;;;;
62;Lê Hồng Phong;Ba Đình;1;0;1;750000;545000;440000;340000;No62.jpg;;;;;;;;;;;;;;;;;;
63;Lạc Long Quân;Tây Hồ;1;0;1;1050000;865000;740000;540000;No63.jpg;;;;;;;;;;;;;;;;;;
64;Yên Ninh;Ba Đình;1;1;1;800000;672000;520000;420000;No64.jpg;;;;;;;;;;;;;;;;;;
65;Yết Kiêu;Hai Bà Trưng;1;0;1;750000;545000;440000;340000;No65.jpg;;;;;;;;;;;;;;;;;;
66;Yên Ninh;Ba Đình;1;0;1;800000;625000;490000;390000;No66.jpg;;;;;;;;;;;;;;;;;;
67;Nam Tràng;Ba Đình;1;0;1;950000;785000;690000;490000;No67.jpg;;;;;;;;;;;;;;;;;;
68;Nam Tràng;Ba Đình;1;0;1;1050000;865000;740000;540000;No68.jpg;;;;;;;;;;;;;;;;;;
69;Nam Tràng;Ba Đình;1;1;1;950000;785000;690000;490000;No69.jpg;;;;;;;;;;;;;;;;;;
70;Nam Tràng;Ba Đình;1;1;1;1050000;865000;740000;540000;No70.jpg;;;;;;;;;;;;;;;;;;
71;Bạch Đằng;Hoàn Kiếm;1;1;1;800000;625000;490000;390000;No71.jpg;;;;;;;;;;;;;;;;;;
72;Bạch Đằng;Hoàn Kiếm;1;0;1;750000;545000;440000;340000;No72.jpg;;;;;;;;;;;;;;;;;;
73;Lò Đúc;Hai Bà Trưng;1;1;0;800000;625000;490000;390000;No73.jpg;;;;;;;;;;;;;;;;;;
74;Phan Phù Tiên;Đống Đa;1;1;1;800000;672000;520000;420000;No74.jpg;;;;;;;;;;;;;;;;;;
75;Yên Phụ;Tây Hồ;1;0;1;800000;625000;540000;390000;No75.jpg;;;;;;;;;;;;;;;;;;
76;Yên Phụ;Tây Hồ;1;0;1;950000;705000;590000;440000;No76.jpg;;;;;;;;;;;;;;;;;;
77;Yên Phụ;Tây Hồ;1;0;1;1050000;865000;740000;540000;No77.jpg;;;;;;;;;;;;;;;;;;
78;Tôn Đức Thắng;Đống Đa;1;0;1;780000;572000;460000;360000;No78.jpg;;;;;;;;;;;;;;;;;;
79;Tôn Đức Thắng;Đống Đa;1;0;1;780000;572000;460000;360000;No79.jpg;;;;;;;;;;;;;;;;;;
80;Tôn Đức Thắng;Đống Đa;1;0;1;750000;545000;440000;340000;No80.jpg;;;;;;;;;;;;;;;;;;
81;Tân Ấp;Ba Đình;0;1;1;800000;672000;520000;420000;No81.jpg;;;;;;;;;;;;;;;;;;
82;Tân Ấp;Ba Đình;0;0;1;780000;572000;460000;360000;No82.jpg;;;;;;;;;;;;;;;;;;
83;Phạm Hồng Thái;Ba Đình;1;1;1;850000;705000;590000;440000;No83.jpg;;;;;;;;;;;;;;;;;;
84;Phạm Hồng Thái;Ba Đình;1;1;1;850000;705000;590000;440000;No84.jpg;;;;;;;;;;;;;;;;;;
85;Phạm Hồng Thái;Ba Đình;1;1;1;950000;785000;640000;490000;No85.jpg;;;;;;;;;;;;;;;;;;
86;Phan Phù Tiên;Đống Đa;1;0;1;780000;572000;460000;360000;No86.jpg;;;;;;;;;;;;;;;;;;
87;Phan Phù Tiên;Đống Đa;1;1;1;800000;672000;520000;420000;No87.jpg;;;;;;;;;;;;;;;;;;
88;Trịnh Công Sơn (nhỏ);Tây hồ;1;1;1;690000;690000;620000;520000;No88.jpg;;;;;;;;;;;;;;;;;;
89;Trịnh Công Sơn (lớn);Tây hồ;1;1;1;870000;870000;740000;640000;No89.jpg;;;;;;;;;;;;;;;;;;
90;Tân Ấp;Ba Đình;1;0;1;800000;625000;490000;390000;No90.jpg;;;;;;;;;;;;;;;;;;
91;Tân Ấp;Ba Đình;1;0;1;750000;545000;440000;340000;No91.jpg;;;;;;;;;;;;;;;;;;
92;Tân Ấp;Ba Đình;1;0;1;750000;545000;440000;340000;No92.jpg;;;;;;;;;;;;;;;;;;
93;Lê Hồng Phong;Ba Đình;1;0;1;750000;545000;440000;340000;No93.jpg;;;;;;;;;;;;;;;;;;
94;Bùi Thị Xuân;Hai Bà Trưng;1;1;0;900000;785000;640000;490000;No94.jpg;;;;;;;;;;;;;;;;;;
95;Kim Mã;Ba Đình;1;1;1;850000;672000;520000;420000;No95.jpg;;;;;;;;;;;;;;;;;;
96;Kim Mã;Ba Đình;1;1;1;850000;672000;520000;420000;No96.jpg;;;;;;;;;;;;;;;;;;
97;Kim Mã;Ba Đình;1;1;1;850000;672000;520000;420000;No97.jpg;;;;;;;;;;;;;;;;;;
98;Phan Bội Châu;Hoàn Kiếm;1;0;1;680000;512000;420000;320000;No98.jpg;;;;;;;;;;;;;;;;;;
99;Phan Bội Châu;Hoàn Kiếm;1;0;1;800000;625000;490000;390000;No99.jpg;;;;;;;;;;;;;;;;;;
100;Bùi Xương Trạch;Thanh Xuân Cầu Giấy;1;0;1;750000;545000;440000;340000;No100.jpg;;;;;;;;;;;;;;;;;;
101;Bùi Xương Trạch;Thanh Xuân Cầu Giấy;1;0;1;750000;545000;440000;340000;No101.jpg;;;;;;;;;;;;;;;;;;
102;Bùi Xương Trạch;Thanh Xuân Cầu Giấy;1;0;1;750000;545000;440000;340000;No102.jpg;;;;;;;;;;;;;;;;;;
103;Bùi Xương Trạch;Thanh Xuân Cầu Giấy;1;0;1;800000;625000;490000;390000;No103.jpg;;;;;;;;;;;;;;;;;;
104;Bùi Xương Trạch;Thanh Xuân Cầu Giấy;1;0;1;800000;625000;490000;390000;No104.jpg;;;;;;;;;;;;;;;;;;
105;Bùi Xương Trạch;Thanh Xuân Cầu Giấy;1;0;1;750000;545000;440000;340000;No105.jpg;;;;;;;;;;;;;;;;;;
106;Ngõ Quỳnh;Hai Bà Trưng;1;0;1;750000;545000;440000;340000;No106.jpg;;;;;;;;;;;;;;;;;;
107;Ngõ Quỳnh;Hai Bà Trưng;1;0;1;750000;545000;440000;340000;No107.jpg;;;;;;;;;;;;;;;;;;
108;Ngõ Quỳnh;Hai Bà Trưng;1;0;1;750000;545000;440000;340000;No108.jpg;;;;;;;;;;;;;;;;;;
109;Ngõ Quỳnh;Hai Bà Trưng;1;1;1;800000;625000;490000;390000;No109.jpg;;;;;;;;;;;;;;;;;;
110;Dã Tượng;Hoàn Kiếm;1;0;1;850000;705000;590000;440000;No110.jpg;;;;;;;;;;;;;;;;;;
111;Dã Tượng;Hoàn Kiếm;1;0;1;850000;705000;590000;440000;No111.jpg;;;;;;;;;;;;;;;;;;
112;Dã Tượng;Hoàn Kiếm;1;0;1;950000;785000;640000;490000;No112.jpg;;;;;;;;;;;;;;;;;;
113;Dã Tượng;Hoàn Kiếm;1;0;1;850000;705000;590000;440000;No113.jpg;;;;;;;;;;;;;;;;;;
114;Dã Tượng;Hoàn Kiếm;1;1;1;950000;785000;640000;490000;No114.jpg;;;;;;;;;;;;;;;;;;
115;Hàm Long;Hoàn Kiếm;1;0;1;750000;545000;440000;340000;No115.jpg;;;;;;;;;;;;;;;;;;
116;Hàm Long;Hoàn Kiếm;1;0;1;750000;545000;440000;340000;No116.jpg;;;;;;;;;;;;;;;;;;
117;Trung Kính;Thanh Xuân Cầu Giấy;1;1;1;540000;540000;490000;390000;No117.jpg;;;;;;;;;;;;;;;;;;
118;Trung Kính;Thanh Xuân Cầu Giấy;1;0;1;490000;490000;430000;340000;No118.jpg;;;;;;;;;;;;;;;;;;
119;Trung Kính;Thanh Xuân Cầu Giấy;1;1;1;540000;540000;490000;390000;No119.jpg;;;;;;;;;;;;;;;;;;
120;Trung Kính;Thanh Xuân Cầu Giấy;1;0;1;490000;490000;430000;340000;No120.jpg;;;;;;;;;;;;;;;;;;
121;Trung Kính;Thanh Xuân Cầu Giấy;1;1;1;540000;540000;490000;390000;No121.jpg;;;;;;;;;;;;;;;;;;
122;Trung Kính;Thanh Xuân Cầu Giấy;1;0;1;490000;490000;430000;340000;No122.jpg;;;;;;;;;;;;;;;;;;
123;Trung Kính;Thanh Xuân Cầu Giấy;1;1;1;540000;540000;490000;390000;No123.jpg;;;;;;;;;;;;;;;;;;
124;Nhật Chiêu;Tây Hồ;1;1;1;800000;625000;490000;390000;No124.jpg;;;;;;;;;;;;;;;;;;
125;Nhật Chiêu;Tây Hồ;0;0;1;750000;545000;440000;340000;No125.jpg;;;;;;;;;;;;;;;;;;
126;Nhật Chiêu;Tây Hồ;1;1;1;800000;625000;490000;390000;No126.jpg;;;;;;;;;;;;;;;;;;
127;Nhật Chiêu;Tây Hồ;1;0;1;750000;545000;440000;340000;No127.jpg;;;;;;;;;;;;;;;;;;
128;Nhật Chiêu;Tây Hồ;1;1;1;800000;625000;490000;390000;No128.jpg;;;;;;;;;;;;;;;;;;
129;Hàng Bột;Đống Đa;1;0;1;550000;560000;450000;350000;No129.jpg;;;;;;;;;;;;;;;;;;
130;Hàng Bột;Đống Đa;1;0;1;650000;720000;550000;450000;No130.jpg;;;;;;;;;;;;;;;;;;
131;Linh Lang;Ba Đình;1;1;1;900000;752000;570000;470000;No131.jpg;;;;;;;;;;;;;;;;;;
132;Linh Lang;Ba Đình;1;1;1;900000;752000;570000;470000;No132.jpg;;;;;;;;;;;;;;;;;;
133;Điện Biên Phủ;Ba Đình;1;0;1;750000;545000;440000;340000;No133.jpg;;;;;;;;;;;;;;;;;;
134;Điện Biên Phủ;Ba Đình;1;0;1;750000;545000;440000;340000;No134.jpg;;;;;;;;;;;;;;;;;;
135;Điện Biên Phủ;Ba Đình;1;0;1;750000;545000;440000;340000;No135.jpg;;;;;;;;;;;;;;;;;;
136;Điện Biên Phủ;Ba Đình;1;0;1;700000;512000;420000;320000;No136.jpg;;;;;;;;;;;;;;;;;;
137;Điện Biên Phủ;Ba Đình;1;0;1;700000;512000;420000;320000;No137.jpg;;;;;;;;;;;;;;;;;;
